"ID","Number","Nationwide number","Name","Original name","Sex","Year of birth","Nationality","Military/Civilian","Selection","Year of Selection","mission number","total number of missions","Occupation","Year of mission","Mission title","Ascend shuttle","In orbit","Descend shuttle","Hours/mission","Total hrs (sum)","Field21","EVA hrs/mission","Total EVA hrs"
711,302.00,190.00,"Bursch, Daniel W.","Bursch, Daniel W.","M",1957.00,"U.S.","Mil","NASA- 13",1990.00,1.00,4.00,"MSP",1993.00,"STS-51","STS-51","STS-51","STS-51",236.00,5448.00,0.00,0.00,11.77
712,302.00,190.00,"Bursch, Daniel W.","Bursch, Daniel W.","M",1957.00,"U.S.","Mil","NASA- 13",1990.00,2.00,4.00,"MSP",1994.00,"STS-68","STS-68","STS-68","STS-68",169.00,5448.00,0.00,0.00,11.77
713,302.00,190.00,"Bursch, Daniel W.","Bursch, Daniel W.","M",1957.00,"U.S.","Mil","NASA- 13",1990.00,3.00,4.00,"MSP",1996.00,"STS-77","STS-77","STS-77","STS-77",241.00,5448.00,0.00,0.00,11.77
714,302.00,190.00,"Bursch, Daniel W.","Bursch, Daniel W.","M",1957.00,"U.S.","Mil","NASA- 13",1990.00,4.00,4.00,"flight engineer",2001.00,"4","STS-108","ISS","STS-111",4802.00,5448.00,2.00,11.77,11.77
715,303.00,191.00,"Walz, Carl E.","Walz, Carl E.","M",1955.00,"U.S.","Mil","1990 NASA group",1990.00,1.00,4.00,"MSP",1993.00,"STS-51","STS-51","STS-51","STS-51",236.18,5533.06,1.00,7.08,18.91
716,303.00,191.00,"Walz, Carl E.","Walz, Carl E.","M",1955.00,"U.S.","Mil","1990 NASA group",1990.00,2.00,4.00,"MSP",1994.00,"STS-65","STS-65","STS-65","STS-65",360.00,5533.06,0.00,0.00,18.91
717,303.00,191.00,"Walz, Carl E.","Walz, Carl E.","M",1955.00,"U.S.","Mil","1990 NASA group",1990.00,3.00,4.00,"MSP",1996.00,"STS-79","STS-79","STS-79","STS-79",243.00,5533.06,0.00,0.00,18.91
718,303.00,191.00,"Walz, Carl E.","Walz, Carl E.","M",1955.00,"U.S.","Mil","1990 NASA group",1990.00,4.00,4.00,"MSP",2001.00,"4","STS-108","ISS","STS-111",4704.00,5533.06,2.00,11.83,18.91
719,304.00,192.00,"Searfoss, Richard A.","Searfoss, Richard A.","M",1956.00,"U.S.","Mil","1990 NASA group 13",1990.00,1.00,3.00,"pilot",1993.00,"STS-58","STS-58","STS-58","STS-58",338.00,938.00,0.00,0.00,0.00
720,304.00,192.00,"Searfoss, Richard A.","Searfoss, Richard A.","M",1956.00,"U.S.","Mil","1990 NASA group 13",1990.00,2.00,3.00,"pilot",1996.00,"STS-76","STS-76","STS-76","STS-76",216.00,938.00,0.00,0.00,0.00
721,304.00,192.00,"Searfoss, Richard A.","Searfoss, Richard A.","M",1956.00,"U.S.","Mil","1990 NASA group 13",1990.00,3.00,3.00,"commander",1998.00,"STS-90","STS-90","STS-90","STS-90",384.00,938.00,0.00,0.00,0.00
722,305.00,193.00,"McArthur, William S., Jr.","McArthur, William S., Jr.","M",1951.00,"U.S.","Mil","NASA- 13",1990.00,1.00,4.00,"MSP",1993.00,"STS-58","STS-58","STS-58","STS-58",336.00,5396.00,0.00,0.00,24.35
723,305.00,193.00,"McArthur, William S., Jr.","McArthur, William S., Jr.","M",1951.00,"U.S.","Mil","NASA- 13",1990.00,2.00,4.00,"MSP",1995.00,"STS-74","STS-74","STS-74","STS-74",196.00,5396.00,0.00,0.00,24.35
724,305.00,193.00,"McArthur, William S., Jr.","McArthur, William S., Jr.","M",1951.00,"U.S.","Mil","NASA- 13",1990.00,3.00,4.00,"MSP",2000.00,"STS-92","STS-92","STS-92","STS-92",309.00,5396.00,2.00,13.27,24.35
725,305.00,193.00,"McArthur, William S., Jr.","McArthur, William S., Jr.","M",1951.00,"U.S.","Mil","NASA- 13",1990.00,4.00,4.00,"flight engineer",2006.00,"12","Soyuz TMA-7","ISS","Soyuz TMA-7",4555.00,5396.00,2.00,11.08,24.35
726,306.00,194.00,"Wolf, David A.","Wolf, David A.","M",1956.00,"U.S.","Civ","1990 NASA group",1990.00,1.00,4.00,"MSP",1993.00,"STS-58","STS-58","STS-58","STS-58",336.00,4040.95,0.00,0.00,41.95
727,306.00,194.00,"Wolf, David A.","Wolf, David A.","M",1956.00,"U.S.","Civ","1990 NASA group",1990.00,2.00,4.00,"MSP",1997.00,"24","STS-86","Mir","STS-89",3072.00,4040.95,1.00,3.87,41.95
